Nama,Email,Nomor,Jenis Kelamin,Tanggal Lahir,Alergi
x,x,x,Perempuan,13/11/2025,x
Budi Santoso,budi.santoso@email.com,081234567890,Laki-Laki,15/03/1995,Seafood
Siti Nurhaliza,siti.nur@gmail.com,082345678901,Perempuan,22/07/1998,Tidak Ada
Ahmad Fauzi,ahmad.fauzi@yahoo.com,083456789012,Laki-Laki,10/11/1992,Kacang
Dewi Lestari,dewi.lestari@email.com,084567890123,Perempuan,05/01/1997,Susu
Rudi Hartono,rudi.h@gmail.com,085678901234,Laki-Laki,18/09/1994,Telur
Maya Wijaya,maya.wijaya@outlook.com,086789012345,Perempuan,30/04/1996,Tidak Ada
Eko Prasetyo,eko.prasetyo@email.com,087890123456,Laki-Laki,12/12/1993,Udang
Rina Kusuma,rina.kusuma@gmail.com,088901234567,Perempuan,25/06/1999,Debu
Hendra Saputra,hendra.s@yahoo.com,089012345678,Laki-Laki,08/02/1991,Tidak Ada
Fitri Handayani,fitri.handayani@email.com,081123456789,Perempuan,14/08/1995,Gluten
Agus Setiawan,agus.setiawan@gmail.com,082234567890,Laki-Laki,20/05/1990,Tidak Ada
Putri Ayu,putri.ayu@outlook.com,083345678901,Perempuan,03/10/1998,Kacang
Doni Wijaya,doni.wijaya@email.com,084456789012,Laki-Laki,27/03/1996,Seafood
Linda Sari,linda.sari@gmail.com,085567890123,Perempuan,11/07/1994,Tidak Ada
Bambang Susilo,bambang.susilo@yahoo.com,086678901234,Laki-Laki,16/12/1992,Susu
Indah Permata,indah.permata@email.com,087789012345,Perempuan,09/04/1997,Tidak Ada
Fajar Ramadhan,fajar.r@gmail.com,088890123456,Laki-Laki,23/09/1995,Telur
Nia Ramadhani,nia.ramadhani@outlook.com,089901234567,Perempuan,06/01/1999,Debu
Yudi Prasetyo,yudi.prasetyo@email.com,081012345678,Laki-Laki,19/06/1993,Tidak Ada
Anis Fitriani,anis.fitriani@gmail.com,082123456789,Perempuan,28/11/1991,Kacang
Danes,danes@gmail.com,08201820182,Laki-Laki,13/11/2025,Tidak Ada
wwwwww,ww,www,Perempuan,28/11/2025,www
x,x,x,Perempuan,13/11/2025,x
Budi Santoso,budi.santoso@email.com,081234567890,Laki-Laki,15/03/1995,Seafood
Siti Nurhaliza,siti.nur@gmail.com,082345678901,Perempuan,22/07/1998,Tidak Ada
Ahmad Fauzi,ahmad.fauzi@yahoo.com,083456789012,Laki-Laki,10/11/1992,Kacang
Dewi Lestari,dewi.lestari@email.com,084567890123,Perempuan,05/01/1997,Susu
Rudi Hartono,rudi.h@gmail.com,085678901234,Laki-Laki,18/09/1994,Telur
Maya Wijaya,maya.wijaya@outlook.com,086789012345,Perempuan,30/04/1996,Tidak Ada
Eko Prasetyo,eko.prasetyo@email.com,087890123456,Laki-Laki,12/12/1993,Udang
Rina Kusuma,rina.kusuma@gmail.com,088901234567,Perempuan,25/06/1999,Debu
Hendra Saputra,hendra.s@yahoo.com,089012345678,Laki-Laki,08/02/1991,Tidak Ada
Fitri Handayani,fitri.handayani@email.com,081123456789,Perempuan,14/08/1995,Gluten
Agus Setiawan,agus.setiawan@gmail.com,082234567890,Laki-Laki,20/05/1990,Tidak Ada
Putri Ayu,putri.ayu@outlook.com,083345678901,Perempuan,03/10/1998,Kacang
Doni Wijaya,doni.wijaya@email.com,084456789012,Laki-Laki,27/03/1996,Seafood
Linda Sari,linda.sari@gmail.com,085567890123,Perempuan,11/07/1994,Tidak Ada
Bambang Susilo,bambang.susilo@yahoo.com,086678901234,Laki-Laki,16/12/1992,Susu
Indah Permata,indah.permata@email.com,087789012345,Perempuan,09/04/1997,Tidak Ada
Fajar Ramadhan,fajar.r@gmail.com,088890123456,Laki-Laki,23/09/1995,Telur
Nia Ramadhani,nia.ramadhani@outlook.com,089901234567,Perempuan,06/01/1999,Debu
Yudi Prasetyo,yudi.prasetyo@email.com,081012345678,Laki-Laki,19/06/1993,Tidak Ada
Anis Fitriani,anis.fitriani@gmail.com,082123456789,Perempuan,28/11/1991,Kacang
Danes,danes@gmail.com,08201820182,Laki-Laki,13/11/2025,Tidak Ada
